rownames(exprSet)	GSM2508127	GSM2508128	GSM2508129	GSM2508130	GSM2508131	GSM2508132	GSM2508145	GSM2508146	GSM2508147	GSM2508148	GSM2508149	GSM2508150	GSM2508151	GSM2508152	GSM2508153	GSM2508154	GSM2508155	GSM2508156	GSM2508157	GSM2508158	GSM2508159
SERPINA3	17.9016992088448	17.9016992088448	17.9016992088448	17.6419553963872	18.0514925231577	17.9016992088448	18.1368576416672	18.0514925231577	18.0514925231577	18.1368576416672	18.1368576416672	18.0514925231577	18.1368576416672	17.8435231017114	17.7240481157675	17.9016992088448	18.1368576416672	18.1368576416672	18.1368576416672	17.7240481157675	17.9016992088448
CFP	18.0514925231577	18.1368576416672	18.1368576416672	17.8435231017114	17.9016992088448	18.1368576416672	17.9016992088448	17.8435231017114	17.8435231017114	17.8435231017114	17.7240481157675	17.7240481157675	18.0514925231577	18.0514925231577	16.1442570717759	17.7240481157675	18.0514925231577	18.0514925231577	18.0514925231577	18.0514925231577	17.8435231017114
APOE	17.3657130746216	17.3657130746216	17.3657130746216	17.1699475974198	17.1699475974198	17.7240481157675	18.0514925231577	18.1368576416672	18.1368576416672	18.0514925231577	18.0514925231577	18.1368576416672	17.9016992088448	18.1368576416672	17.9016992088448	18.1368576416672	17.9016992088448	17.8435231017114	17.9016992088448	18.1368576416672	18.1368576416672
TF	17.7240481157675	17.8435231017114	17.8435231017114	18.1368576416672	17.8435231017114	17.8435231017114	17.6419553963872	17.9016992088448	17.9016992088448	17.9016992088448	17.8435231017114	17.9016992088448	17.8435231017114	17.9016992088448	17.8435231017114	17.8435231017114	17.8435231017114	17.9016992088448	15.8883539067635	17.6419553963872	17.7240481157675
C3	18.1368576416672	18.0514925231577	18.0514925231577	18.0514925231577	18.1368576416672	18.0514925231577	17.3657130746216	17.7240481157675	17.1699475974198	17.5235361044473	17.3657130746216	17.3657130746216	17.6419553963872	17.5235361044473	15.0116538614797	17.1699475974198	17.3657130746216	17.1699475974198	17.6419553963872	17.1699475974198	17.5235361044473
PF4	17.8435231017114	17.7240481157675	17.7240481157675	17.9016992088448	17.6419553963872	17.6419553963872	17.8435231017114	17.6419553963872	17.6419553963872	17.7240481157675	17.1699475974198	17.6419553963872	16.8095359612811	17.6419553963872	12.8477574140309	17.6419553963872	17.6419553963872	17.7240481157675	16.9556325033103	17.9016992088448	17.6419553963872
C9	16.4414532599158	16.4897822689748	16.5694309038834	16.0574026236688	16.4897822689748	16.1442570717759	16.5694309038834	16.5694309038834	16.3635417012516	16.8095359612811	16.4897822689748	16.4897822689748	16.3094272914143	16.6633487628189	15.9635813128523	16.4897822689748	16.9556325033103	16.9556325033103	16.8095359612811	16.4897822689748	16.1866139216668
CFH	16.3635417012516	16.3635417012516	16.3094272914143	15.7950300588611	16.4414532599158	16.4897822689748	16.3635417012516	16.3094272914143	16.3094272914143	16.3094272914143	16.0574026236688	16.3635417012516	16.1866139216668	16.0091331645176	15.9147708493401	16.2362198742139	16.3635417012516	16.2362198742139	16.1442570717759	16.6633487628189	16.3635417012516
C6	15.6955597359957	16.5694309038834	16.4897822689748	15.6251277130036	15.5721080600623	16.5694309038834	16.4414532599158	16.4897822689748	16.6633487628189	16.4897822689748	16.3094272914143	16.5694309038834	16.2362198742139	16.4414532599158	14.4693847152614	16.0574026236688	16.8095359612811	16.5694309038834	16.0091331645176	16.5694309038834	16.6633487628189
ERAP1	16.0574026236688	13.968623083851	15.5988287648241	16.9556325033103	16.9556325033103	16.8095359612811	15.9147708493401	15.0334867096565	16.5694309038834	15.9147708493401	16.5694309038834	16.8095359612811	16.6633487628189	16.5694309038834	16.1866139216668	16.6633487628189	16.3094272914143	16.6633487628189	15.5029998743328	16.1866139216668	17.1699475974198
